params_2_russian,params_2_english
ВАЗ (LADA),VAZ (LADA)
Джинсы,Jeans
Платья и юбки,Dresses and skirts
Обувь,Footwear
На длительный срок,For a long time
Chevrolet,Chevrolet
Верхняя одежда,Outerwear
Коттедж,Cottage
2,2
Ford,Ford
Другое,Other
Системы охлаждения,Cooling systems
Audi,Audi
Складское помещение,Warehouse space
Брюки,Pants
Комбинезоны и боди,Overalls and Body
"Шапки, варежки, шарфы","Caps, mittens, scarves"
Трикотаж и футболки,Jersey and T-shirts
1,1
"Строительство домов, коттеджей","Construction of houses, cottages"
Ремонт квартиры,Apartment renovation
Стиральные машины,Washing machines
Оперативная память,RAM
Промназначения,Industrial Applications
Рубашки,Shirts
Свадебные платья,Wedding Dresses
Дача,Country house
Спецтехника,Special machinery
Фены и приборы для укладки,Hairdryers and styling tools
Трикотаж,Knitwear
ГАЗ,GAS
Гараж,Garage
Дом,House
Сантехника,Sanitary engineering
Toyota,Toyota
Переезды,Moving
Пиджаки и костюмы,Jackets and suits
Отделочные работы,Finishing work
Видеокарты,Video Cards
Торговое помещение,Commercial premises
Мелкая кухонная техника,Small kitchen appliances
Коммерческие перевозки,Commercial transportation
Nissan,Nissan
Дорожные,Road
Сборка и ремонт мебели,Building and repair of furniture
Mitsubishi,Mitsubishi
Офисное помещение,Office space
УАЗ,UAZ
Купальники,Swimsuits
Швейные машины,Sewing machines
Пижамы,Pajamas
"Сельхозназначения (СНТ, ДНП)","Agricultural designation (SNT, DNP)"
Поселений (ИЖС),Settlements (IZhS)
Микроволновые печи,microwaves
3,3
Процессоры,Processors
Холодильники и морозильные камеры,Refrigerators and freezers
4,4
Генеральная уборка,spring-cleaning
Помещение свободного назначения,Free-destination room
"Полиграфия, дизайн","Polygraphy, design"
Peugeot,Peugeot
Рубашки и блузки,Shirts and blouses
Daewoo,Daewoo
Cоздание и продвижение сайтов,Creation and promotion of sites
Автосервис,Car service
Звуковые карты,Sound Cards
Плиты,Plates
Пылесосы,Vacuum cleaners
Запчасти,Spare parts
Жёсткие диски,Hard disks
Модемы и роутеры,Modems and Routers
Топы и футболки,Tops and T-shirts
Корпусы,Shells
Чехлы и плёнки,Covers and films
KIA,KIA
Нижнее бельё,Underwear
Юридические услуги,Legal services
Аренда авто,Rent a Car
Ремонт ванной,Bathroom repair
Chery,Chery
Электрика,Electrics
"Бухгалтерия, финансы","Accounting, Finance"
Кросс и эндуро,Cross and Enduro
Вытяжки,Hoods
Услуги парикмахера,Services of the hairdresser
Мойка окон,Window cleaning
Мастер на все случаи,Master for all cases
Hyundai,Hyundai
Аренда оборудования,Equipment rent
Утюги,Irons
Остекление балконов,Glazing of balconies
Производственное помещение,Production room
Зарядные устройства,Charging device
Макияж,Makeup
Чопперы,Choppers
Renault,Renault
Студия,Studio
Volkswagen,Volkswagen
Opel,Opel
Мобильные устройства,Mobile devices
Набор и коррекция текста,Set and correct text
Mercedes-Benz,Mercedes-Benz
Mazda,Mazda
Материнские платы,motherboards
Гостиница,Hotel
Спортивные,Sports
Гарнитуры и наушники,Headsets and earphones
Citroen,Citroen
Аккумуляторы,Accumulators
Установка и настройка ПО,Installing and configuring the software
Кондиционеры,Conditioners
Обогреватели,Heaters
Блоки питания,Power supplies
Картриджи,Cartridges
LIFAN,LIFAN
Skoda,Skoda
Honda,Honda
ИЖ,IZH
Таунхаус,Townhouse
Subaru,Subaru
Бритвы и триммеры,Shavers & Trimmers
Консультирование,Counseling
Lexus,Lexus
Вывоз мусора,Garbage removal
BMW,BMW
Пошив и ремонт одежды,Sewing and repair of clothing
Термометры и метеостанции,Thermometers and weather stations
Кабели и адаптеры,Cables and adapters
"Производство, обработка","Production, processing"
Haima,Haima
Уборка после ремонта,Cleaning after repair
FIAT,FIAT
Infiniti,Infiniti
ЛуАЗ,LuAZ
Грузчики,Loaders
Suzuki,Suzuki
Rover,Rover
Land Rover,Land Rover
"Косметология, эпиляция","Cosmetology, epilation"
Крупная бытовая техника,Large home appliances
Iran Khodro,Iran Khodro
Контроллеры,Controllers
Очистители воздуха,Air Purifiers
Простая уборка,Easy cleaning
Блоки питания и батареи,Power supplies and batteries
SsangYong,SsangYong
"Маркетинг, реклама, PR","Marketing, advertising, PR"
"Строительство бань, саун","Construction of baths, saunas"
Бумага,Paper
"Фото-, аудио-, видеотехника","Photo, audio, video equipment"
Предметы школы и ВУЗа,School and university subjects
Мелкая бытовая техника,Small household appliances
Компьютерная техника,Computer technology
Geely,Geely
Вентиляторы,Fans
Монтаж и обслуживание оборудования,Installation and maintenance of equipment
"Спорт, танцы","Sports, dancing"
Volvo,Volvo
5,5
Машинки для стрижки,trimmers
FAW,FAW
Ремонт кухни,Kitchen repair
"Химчистка, стирка","Dry cleaning, washing"
Настройка интернета и сетей,Setting up the Internet and networks
Машиноместо,Parking place
Профессиональная подготовка,Professional training
Hummer,Hummer
Посудомоечные машины,Dishwashers
ВИС,VIS
Jeep,Jeep
Другая,Other
ТагАЗ,TagAZ
SEAT,SEAT
Болванки,Chewing gums
"CD, DVD и Blu-ray приводы","CD, DVD and Blu-ray drives"
Помещение общественного питания,Catering facilities
"Квартира, апартаменты","Apartment, apartment"
Изготовление ключей,Production of keys
Porsche,Porsche
"Маникюр, педикюр",Mani Pedi
ЗАЗ,ZAZ
"СПА-услуги, здоровье","SPA services, health"
Vortex,Vortex
Иностранные языки,Foreign languages
Iveco,Iveco
Москвич,Moskvich
Saab,Saab
LDV,LDV
Ювелирные услуги,Jewelery services
Daihatsu,Daihatsu
6,6th
Great Wall,Great wall
Телевизоры,Televisions
"Детское развитие, логопеды","Child development, speech therapists"
ЗИЛ,ZIL
Чистка мягкой мебели,Cleaning upholstered furniture
Эпиляторы,Epilators
Посуточно,Daily
BYD,BYD
Вождение,Driving
Isuzu,Isuzu
Cadillac,Cadillac
9,I
Jaguar,Jaguar
"Дом, вилла","House, villa"
Dodge,Dodge
Ремонт офиса,Repair of office
Перевод,Transfer
Derways,Derways
Стилусы,Styluses
Tianye,Tianye
Bentley,Bentley
Asia,Asia
Datsun,Datsun
JAC,JAC
Chrysler,Chrysler
"Тату, пирсинг","Tattoos, Piercings"
"Музыка, театр","Music, theater"
Ravon,Ravon
Док-станции,Docking stations
ZX,ZKS
7,7th
Игровые приставки,Gaming consoles
MINI,MINI
Pontiac,Pontiac
Кастом-байки,Custom bikes
Глажка белья,Ironing of linen
> 9,> I
8,8
Brilliance,Brilliance
Чистка ковров,Carpet cleaning
Smart,Smart
Ремонт часов,Repair of watches
AC,AC
Коммерческая недвижимость,Commercial property
Земельный участок,Land plot
Hafei,Hafei
"Рисование, дизайн, рукоделие","Drawing, design, crafts"
Foton,Foton
Dongfeng,Dongfeng
GMC,GMC
Buick,Buick
BAW,BAW
Haval,Haval
Lancia,Lancia
Huanghai,Huanghai
Alfa Romeo,Alfa Romeo
Lincoln,Lincoln
Landwind,Landwind
JMC,JMC
Scion,Scion
РАФ,RAF
Trabant,Trabant
Acura,Acura
SMA,SMA
Plymouth,Plymouth
Rolls-Royce,Rolls-Royce
Tata,Tata
Luxgen,Luxgen
Hawtai,Hawtai
Dacia,Dacia
Doninvest,Doninvest
Genesis,Genesis
Saturn,Saturn
Proton,Proton
ChangFeng,ChangFeng
Maserati,Maserati
ZOTYE,ZOTYE
Maybach,Maybach
Changan,Changan