russian_category_name,english_category_name
Товары для детей и игрушки,Goods for children and toys
Мебель и интерьер,Furniture and interior
Аудио и видео,Audio and video
Автомобили,Cars
Ремонт и строительство,Repair and construction
"Одежда, обувь, аксессуары","Clothes, shoes, accessories"
Детская одежда и обувь,Children's clothing and footwear
Квартиры,Apartments
Товары для компьютера,Computer products
Собаки,Dogs
"Дома, дачи, коттеджи","Houses, cottages, cottages"
Товары для животных,Goods for pets
Другие животные,Other animals
Комнаты,Rooms
Коллекционирование,Collecting
Коммерческая недвижимость,Commercial property
Посуда и товары для кухни,Dishes and products for the kitchen
Красота и здоровье,beauty and health
Аквариум,Aquarium
Телефоны,Phones
Часы и украшения,Watches & Jewelry
Предложение услуг,Offer of services
Птицы,Birds
Спорт и отдых,Sport and leisure
Музыкальные инструменты,Musical instruments
Бытовая техника,Appliances
"Игры, приставки и программы","Games, consoles and programs"
Земельные участки,Land
Продукты питания,Food
Кошки,Cats
Билеты и путешествия,Tickets and travel
Книги и журналы,Books and magazines
Растения,Plants
Гаражи и машиноместа,Garages and parking places
Мотоциклы и мототехника,Motorcycles and Motorcycles
Планшеты и электронные книги,Tablets and e-books
Оборудование для бизнеса,Equipment for business
Настольные компьютеры,Desktop Computers
Ноутбуки,Laptops
Велосипеды,Bicycles
Грузовики и спецтехника,Trucks and special equipment
Готовый бизнес,Ready business
Фототехника,Photographic equipment
Водный транспорт,Water transport
Охота и рыбалка,Hunting and fishing
Оргтехника и расходники,Office equipment and consumables
Недвижимость за рубежом,Property Abroad